Exception_ID,Rule_ID,Record_ID,Severity,Description,Owner,Status,Identified_Date,Resolution_Date
EX-00001,DQ-01,APL-2026-005729,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00002,DQ-01,APL-2026-002207,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00003,DQ-01,APL-2026-002800,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00004,DQ-01,APL-2026-002205,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00005,DQ-01,APL-2026-002146,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00006,DQ-01,APL-2026-000556,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00007,DQ-01,APL-2026-004244,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00008,DQ-01,APL-2026-003075,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00009,DQ-01,APL-2026-001047,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00010,DQ-01,APL-2026-002007,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00011,DQ-01,APL-2026-002062,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00012,DQ-01,APL-2026-003887,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00013,DQ-01,APL-2026-003450,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00014,DQ-01,APL-2026-002611,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00015,DQ-01,APL-2026-004410,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00016,DQ-01,APL-2026-001439,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00017,DQ-01,APL-2026-005075,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00018,DQ-01,APL-2026-000673,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00019,DQ-01,APL-2026-003348,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00020,DQ-01,APL-2026-004615,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00021,DQ-01,APL-2026-001678,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00022,DQ-01,APL-2026-005501,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00023,DQ-01,APL-2026-005736,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
